text,label
[NAME] has 6 eyes and will thus be the best actor in the movie,0
"i had one but it kept buffering and drove me nuts, caved and went to a lakers stream :/",0
I am tired of everything,1
I feel completely hopeless,1
I am thinking about suicide,1
You can smell the basement from here on him,0
>they mark agencies with a sense of history even if they look a little weird Queue Michigan State Police Cars,0
I want my Thick Blood feat to actually say “F*CK YOU” every time I deny a Peacekeeper their bleed damage.,0
They see me rollin’.....,0
"I've been exposed, time to go into hiding. ",0
I don’t want to live anymore,1
I can't go on anymore,1
I wish I was dead,1
I am thinking about suicide,1
Life is not worth living,1
I am tired of everything,1
I thought I was the only one,0
And often the failing is in the laws. Having to prove somebody is a danger to you is part of the problem!,0
I wish I was dead,1
Wtf are you taking about? What does that have to do wi- *checks post history* **OH**,0
I want to kill myself,1
No one asked him,0
I am tired of everything,1
I feel completely hopeless,1
"Funny enough, not all [NAME] are celebrities.",0
At least they can make some good pizza,0
I can't go on anymore,1
I feel completely hopeless,1
How can you look at that. it hurts.,0
There is no reason to live,1
I am tired of everything,1
I feel completely hopeless,1
This is turtle thing,0
There is no reason to live,1
I feel like giving up completely,1
>Now... it's personal >unsheathes katana,0
My PC froze while changing graphics setting,0
I wish I was dead,1
I can't go on anymore,1
Also linked with [NAME] and [NAME]. [NAME] is virtually done.,0
I want to kill myself,1
They prefer the term pro-life instead of anti-choice. Unless you want to be anti-life,0
Everything feels pointless,1
I am thinking about suicide,1
I wish I was dead,1
I wish I was dead,1
More likely to rape??? Stats?,0
On the off chance that [NAME] is the best player in the ENTIRE league?,0
I am thinking about suicide,1
"Shouldn’t have told them how much they cost, as they advised they knew they were expensive and that it was ok. ",0
I'm concerned with optimal health. Not surviving.,0
I don’t want to live anymore,1
"Not really, in my mind it was continuous cringe that I was always curious about",0
F. No!!!!,0
"Oh man. Hardest lesson for me to learn as a new dm was that even with experienced players, combat with 7 PCs is brutally time consuming ",0
I want to kill myself,1
"BUT YOUNG MASTER, MY ***JUSTICE***!!!!",0
I don’t see any future for me,1
I wish I was dead,1
I'd also report to the post office... and next time these nasty neighbors come-give them the number to call and complain.,0
I feel like ending my life,1
"All. I too, am drunk, and will be enjoying half price burgers at Whitlow's once my appetite kicks in. ",0
I feel like giving up completely,1
I don’t want to live anymore,1
I want to kill myself,1
I feel completely hopeless,1
I still think he should have been the first goalie in the 2014 World Cup. But alas that injury ruined everything.,0
I am thinking about suicide,1
I don’t see any future for me,1
I want to disappear forever,1
Fuck your shitty ass title,0
"this has been an issue ever since, they already know and don't seem to care",0
I feel like giving up completely,1
"But if you connect to the Internet, then you don't need no stinking procedures!(end bad spanish accent).",0
That's why it's only 20$,0
Poetic and also true.,0
I can't go on anymore,1
Totally here for [NAME] and [NAME] boxing [NAME] in before he even announces,0
"Im always worrying about the same thing, thats why Im always posting and within hours freaking out and deleting my posts ",0
There is no reason to live,1
Standard and Poors 500. Stock Market Index. Similar to Dow Jones Industrial Average.,0
"They're upset because, if the slime that makes 4chan stink were to congeal into a person, it would be [NAME].",0
I am tired of everything,1
this one's ironic...,0
That’s his dead cap to the Steelers. We’d take on about 14 mil at that point.,0
I don’t see any future for me,1
I feel like giving up completely,1
I don’t see any future for me,1
I want to disappear forever,1
I want to kill myself,1
Well then name players who were better than Astralis players this year who are not in the top 10.,0
I feel completely hopeless,1
WOW I love this photo so much! Is this recent?,0
"Say it, forget it Write it, regret it.",0
I am thinking about suicide,1
Tetris effect?,0
I don’t want to live anymore,1
Before their votes are immediately and indiscriminately rejected.,0
Fake news! He only serves the Bigliest Macs!,0
I wish I was dead,1
My [NAME] hubris on display. No wonder [NAME] won.,0
I don’t see any future for me,1
I love foreign money. I enjoy making origami from it.,0
That's [NAME] and he had a concussion.,0
We absolutely can't leave the first three rounds without an offensive tackle. Preferably Round 1 or 2,0
There is no reason to live,1
I don’t want to live anymore,1
[NAME] face was great the way it was 😔 Hard to watch those first episodes of KUwtK seeing how naturally pretty she was.,0
I want to disappear forever,1
I want to kill myself,1
I am tired of everything,1
I am thinking about suicide,1
"You know we can see your post history, right? Orange fan sad.",0
"> So basically, if you're responsible with guns, you have nothing to worry about. I'm worried about *other people* not being responsible with guns.",0
I want to hurt myself,1
I want to hurt myself,1
The rare times when they can be arsed to start their own conversation they always talk about why feminism is actually to blame.,0
There is no reason to live,1
I feel like giving up completely,1
"I wouldn't even call this a CB, she wasn't offered anything and turned it down. Still sad, though. ",0
Everything feels pointless,1
I am tired of everything,1
Everything feels pointless,1
Beard length 10,0
I can't go on anymore,1
What an ass. I almost downvoted this out of anger.,0
I am tired of everything,1
"He hits [NAME] dead on, [NAME] is the one who dodged the one handed spirit bomb",0
I can't go on anymore,1
Damn straight.,0
I feel like giving up completely,1
You can get blood from a tissue that's 3 weeks old to plant!,0
I wish I was dead,1
Everything feels pointless,1
Thumb wars and silly nicknames definitely work.,0
I don’t see any future for me,1
I feel like ending my life,1
I’m aware but you won’t see the Turkish state broadcaster promoting that filth.,0
Water bottle works 100%. Canteen im not sure,0
There is no reason to live,1
I got so high someone from the future stopped me from getting high.,0
this is one of the few quality ones posted,0
Feeling good in the gayborhood.,0
I feel like ending my life,1
"Oh, with that title I thought the crocodile was gonna- oh.",0
I just get sad when I see people commenting on articles and videos about him that they think he's on drugs.,0
You can wait ten years to start working on yourself and get what you want or you can do it now.,0
I don’t see any future for me,1
"rather than wait for the site to load, we'll just tell you it didn't load - Reddit",0
I think more people were mad she wasn't with [NAME] and/or [NAME].,0
"Well I'm scared as shit let's hope for the best, benz should be back(?)",0
I don’t see any future for me,1
She should have her medical license revoked because she took an oath to do no harm,0
"FREE FRIES FOR EVERYONE, we splashing out here ",0
I don’t see any future for me,1
I want to disappear forever,1
Look up info on being an empath. I am one and am complete drained after outings even if I had a blast.,0
WHO DAT!,0
I want to hurt myself,1
Oh getting down voats. The EU fascists don't like it when you speak out against the 4th Reich.,0
I feel like giving up completely,1
I wish I was dead,1
was that hutty from [NAME]?? ahhh that makes me so happy. love those boys e: oh it was a rebound,0
I can't go on anymore,1
I am tired of everything,1
Keep turning a blind eye to the truth. It unnatural.,0
There is no reason to live,1
I am thinking about suicide,1
I want to hurt myself,1
Life is not worth living,1
Thanks I was worried that I might die alone,0
Everything feels pointless,1
Is [NAME] dating the woman she lives with? Not my business but enquiring minds want to know,0
Dude. There should be like...underpants with a huge pouch for your balls then. When you age those guys get so saggy.,0
More like hold my cane,0
I feel completely hopeless,1
Definitely not angry. He who smelt it dealt it.,0
>marry up tho Except it's more cruel for men now. The men who the said women are seeing are most certainly homeless/broke chads.,0
Everything feels pointless,1
I talked to her family previous co workers and friends,0
Do the same to them with your straightness,0
Mmm.. that would be a little bloody... I think I have a new fethish...,0
I am tired of everything,1
I am thinking about suicide,1
"They were not really messing around, just more frustrated. They genuinely were trying to move specialists around to get the best out of people.",0
"Oh, [NAME]... [INSERT SITCOM LAUGH TRACK HERE]",0
There is no reason to live,1
I feel completely hopeless,1
Now you’re getting it,0
"That says to me that he believes you are the issue, not his mother.",0
I feel completely hopeless,1
"Guys, even worse: He *paid* someone to set it up. Wow. ",0
"""Oh my [NAME] who is he? I get drunk on jealousy"" -[NAME]-",0
Life is not worth living,1
I feel like giving up completely,1
Life is not worth living,1
This sounds a bit fishy,0
I feel like giving up completely,1
"My father actually works in McDonald’s headquarters and he said they were shocked when the video came out, they had no idea.",0
Baby mama was a comedy about this- but with a much happier ending,0
Because it would be beneficial to her cause if he were. [NAME] scapegoat mechanism in action.,0
"Not necessarily. Poor people tend to purchase cheaper foods, and have assistance programs that others don't have access to. ",0
"That seems real terrible, does that actually work? Negs should usually be playful at worst. ",0
I am thinking about suicide,1
70 year old me doesn't give a fuck just piss or get off the pot!,0
I feel like ending my life,1
Omg I'm crying and shaking rn [NAME] would never say that,0
Didn't you just post this and people told you it was dumb and not meant for this sub?,0
"Ooooof, that’s annoying. I’m sorry.",0
I feel completely hopeless,1
Doesn’t change the fact that you’re still wrong....,0
I can't go on anymore,1
I can't go on anymore,1
I am thinking about suicide,1
I feel like ending my life,1
I want to kill myself,1
I am thinking about suicide,1
Happy birthday [NAME] !,0
hit or miss would anybody care or miss huh..? aint nobody love me and ma dad also left me yuh...,0
"Of course it can be charity. If the rent is lower than the market rate, the difference is charity. ",0
I don’t want to live anymore,1
Everything feels pointless,1
I am tired of everything,1
My grandmother does that.,0
She accidentally tagged someone with the last name Bells,0
I want to hurt myself,1
I feel like giving up completely,1
I am tired of everything,1
Usually they treat what they know. They cannot write down that they are treating you for BPD until you are officially diagnosed.,0
I want to disappear forever,1
I don’t want to live anymore,1
Oh gosh it's on the website too.... Here we go,0
YO MOMMA IS SO CLOSE TO CALCULATING THE ANSWER TO THE {capitalists.class}. I STUDY ARTIFICIAL INTELLIGENCE BECAUSE IT HAS OCCURRED IN YOUR L3 CACHE.,0
I feel like ending my life,1
I feel like ending my life,1
Why hasn't he been made GM yet???,0
Let’s see if it’s a thing r/unexpectedjokers Edit: why am I not surprised also first try,0
What a REPOST! STOP REPOSTING THINGS PEOPLE LITERALLY JUST POSTED.,0
I am tired of everything,1
I want to disappear forever,1
"Be fiscally responsible and you could save a couple thousand probably, while still enjoying much of what this wonderful city has to offer. ",0
Life is not worth living,1
i think there is empirical data for evolution...,0
There is no reason to live,1
I want to hurt myself,1
It's so difficult keeping track on who is friendly with who in the Middle East. How are Iraq:s relations with Turkey and their own Kurdistan nowadays?,0
I am tired of everything,1
I am so happy that sub exists,0
[NAME] and [NAME] can not be any further apart as QBs,0
There's less chance [NAME] will elect a moron dumber than he is.,0
I can't go on anymore,1
I feel like giving up completely,1
I don’t want to live anymore,1
Mmmm...just won it back too. But wasn't given the fief...,0
"So I’m not invested for the rest of the season. Wife is, though. Go Bears.",0
Mouth hugs!,0
She's already promised her kids they can have it and now all four of them are crying!,0
There is no reason to live,1
It is not so much the organs but rather the fluids within the organs that reek when burned. N8,0
I feel completely hopeless,1
Like a glove,0
This is why nobody takes feminism seriously!,0
"[NAME] man, how have you not suffocated with your head so far up your ass?",0
I don’t want to live anymore,1
Don't let her find out we do that here then. She'll want one.,0
Everything feels pointless,1
mom can you give me money? to buy [NAME]? yeeees. actually buys relief pitcher like a boss ottavino time,0
I want to kill myself,1
I want to hurt myself,1
"Take an updoot for making me smirk and smile. It might be immature, but it's hilarious.",0
Life is not worth living,1
There is no reason to live,1
"The people I went to school with work the checkouts at my local one, no escape.",0
That's perfectly fine. I'm sorry if I offended you in any way. Have a nice day.,0
I feel completely hopeless,1
They bothered to attack darling in the franxx,0
Hot girls get horny too.,0
Get your feet off the table...,0
I can't go on anymore,1
I don’t see any future for me,1
Bullock and Warner are the only two dems (without an F rating from the NRA) that I could see running.,0
I feel like ending my life,1
Just tell her you're going to get tested and she should as well just in case.,0
I don’t want to live anymore,1
I wish I was dead,1
Let's go!,0
I want to hurt myself,1
I want to hurt myself,1
I feel like ending my life,1
"I've had a lot of frozen pizza in my day, and this to me looks like a Red Baron.",0
I am thinking about suicide,1
she'd probably do this,0
Just carry a 20mm.,0
I am thinking about suicide,1
There's really no way to know since my lady hormones prevent me from remembering sexual assaulters' identities.,0
"Oh wow, hate that. ",0
Link to paper referenced in the,0
I wish I was dead,1
I don’t see any future for me,1
I want to hurt myself,1
I am thinking about suicide,1
I don’t want to live anymore,1
I wish I was dead,1
"We're not a cult, so long as he apologizes and sees the fault in his actions, I see no reason to ban him.",0
[NAME] is scary,0
I mean the ST coach market seems a little dry. Maybe this is best we could do this year.,0
I wish I was dead,1
I feel completely hopeless,1
I want to kill myself,1
Yes... you little crybabies call them fascist too? People who kill fascists are fascists right?,0
Life is not worth living,1
> WE AREN'T EVEN IN THE UNITED KINGDOM I was well ahead of you. It was the prices being in dollars that gave it away.,0
Don't forget [NAME] 3 whole days as an esthestician (or however it's spelt).,0
I feel like giving up completely,1
I want to kill myself,1
Life is not worth living,1
I feel completely hopeless,1
"I was with you until you said ""your truth"". No such thing, mate. This is just mispropaganda in the other direction. ",0
I wish I was dead,1
I want to hurt myself,1
You are alone and touching her...that is a glaring sign!,0
[NAME] has only lived for [NAME] and [NAME] for now but the choices have been fair.,0
I feel like ending my life,1
Everyone wants bama! I repeat everyone wants bama!,0
Everything feels pointless,1
I am tired of everything,1
I want to disappear forever,1
I want to hurt myself,1
Sold out. Sorry my dude!,0
I want to hurt myself,1
I feel like ending my life,1
I'd be more than happy to indulge this toothache.,0
">Cars kill more people than guns Way, way more people. Alcohol too.",0
I don’t see any future for me,1
I've found that reading before bed helps my brain get tired without needing to exhaust myself by staying up very late.,0
I feel like ending my life,1
Of the 7’1 jacked guy. Yes,0
I think we all are,0
I want to kill myself,1
There seems to a bet between [NAME] and [NAME] whose semi final match would be more of a bloodbath,0
I can't go on anymore,1
But people already know I'm weird.,0
Life is not worth living,1
damnnn wendell. just willed that one in,0
No. Without getting into spoilers that ring is reserved for something else later in the game.,0
I feel completely hopeless,1
I feel completely hopeless,1
I don’t want to live anymore,1
How the hell,0
To piss people off probably,0
for 150 million!,0
"so basically, there’s a rumor that there’s a rumor that [NAME] trilogy might take place after the ST?",0
It's a gift.,0
Life is not worth living,1
Their pain is offset by the success they've had. We don't have anything.,0
I am tired of everything,1
I feel like giving up completely,1
I am tired of everything,1
"Actually, in some cases it's best certain people _don't_ think about the children..,,",0
I want to disappear forever,1
I don’t see any future for me,1
I don’t want to live anymore,1
Yeah but don’t you have to get in the water to save lives?,0
... and no one seemed to care Except that lonely woman with white hair,0
Using that for the r/bossfight x-post,0
I think he ([NAME]) was escort. And [NAME] was medium.,0
You need to change your locks.,0
Everything feels pointless,1
This genuinely made me angry. He and his sociopath of a wife deserve each other.,0
I don’t see any future for me,1
There is no reason to live,1
I feel like giving up completely,1
Don’t have someone who didn’t wash their hands put in your contacts! Come on!,0
It means she likes it when you do that thing.,0
I feel completely hopeless,1
There is no reason to live,1
I don’t see any future for me,1
I don’t want to live anymore,1
"Have fun toasting expired marshmallows in hell, lady-killer POS.",0
I can't go on anymore,1
There is no reason to live,1
I am thinking about suicide,1
I can't go on anymore,1
But half of the money they made belongs to her.,0
I wish I was dead,1
I am thinking about suicide,1
I've never been so proud of humanity.,0
I'd almost rather a criminal have a gun than this guy.,0
I did something like,0
ROLL THE DICE,0
I want to kill myself,1
"Stop breaking the rules, you're still posting in that comment section after making this post. ",0
Everything feels pointless,1
I like that they have a red light camera there to combat the red light runners. You can see it flash twice at 0:48.,0
"Has there even been a time when a *good* Doxing happened? ""We're going to find this guy and hug the crap outta him!""",0
I feel like giving up completely,1
I wish I was dead,1
You need to use ladies man perk and an item that has seduction +150.,0
There is no reason to live,1
I feel like giving up completely,1
I don’t want to live anymore,1
I want to hurt myself,1
I want to hurt myself,1
I feel like giving up completely,1
I feel like ending my life,1
I don’t want to live anymore,1
I want to disappear forever,1
Imagine trying to step down from there after you're done and your legs feel like rubber,0
Life is not worth living,1
*[NAME] joins you*,0
I want to kill myself,1
I wish I was dead,1
I can't stop trying to parse it. Lick (my) azz; lick Ms. [NAME]) azz; Chevy('s) lick azz.,0
Everything feels pointless,1
Life is not worth living,1
I don’t know where you live but just a bj should be around 80$,0
Nah I’d use this so the government doesn’t know things about me or my family.,0
I can't go on anymore,1
Scotland the brave. Highland cathedral. My love is like a red red rose. Flower of Scotland.,0
Everything feels pointless,1
There is no reason to live,1
"Can we ban posts about him now he's a predator? It just makes me sad now, Idk about anyone else",0
I want to hurt myself,1
I don’t want to live anymore,1
I want to disappear forever,1
It was a reference to earth 1s laurels arc. We honestly dont know enough about earth 2 laurel to come up with anything that wouldnt be overarching speculation.,0
I can't go on anymore,1
Everything feels pointless,1
I brought it back up they are with amway and LTD,0
Everything feels pointless,1
I don’t see any future for me,1
Life is not worth living,1
"My wife is not allowed to flick my ears for any reason, and apparently I'm not allowed to stick my finger into her bellybutton lmao.",0
I am thinking about suicide,1
I can't go on anymore,1
I can't go on anymore,1
I am thinking about suicide,1
Its just coming out now...,0
"Just [NAME] rush the sub, they can try and get us but we’ll break through like the videos of the England team they tried deleting.",0
Now give me a LPT to stop getting mail from the old tenants of my apartment,0
I.E. dictatorial control of foreign countries for the purposes of resource extraction.,0
I wish I was dead,1
I don’t see any future for me,1
I wish I was dead,1
Life is not worth living,1
It really depends on what you're going for. Girls are attracted to different attractive archetypes.,0
Life is not worth living,1
"Game pass has a lot of good games you get aswell, id look at them first",0
I don’t want to live anymore,1
This is your moment!,0
I want to kill myself,1
Love the almost sharingan look he gets in his eyes right before the attempt. O-O I CAN SEE!,0
I feel completely hopeless,1
I want to hurt myself,1
I feel like ending my life,1
Oh you mean a documentary he produced? I watched it and it felt kinda bias imo,0
She has no idea.,0
Damn this is dope,0
I want to disappear forever,1
2nd Intermission question: whose football team is in the playoffs Rn? How about them Seattle Seahawks!!,0
I did ..,0
Life is not worth living,1
If you want an OG Dragon Ball rep then throw in Roshi,0
I'm assuming they sense the change but to translate it onto the screen for the audience they have to have them realize it,0
"...it was a corgi, and that dog looked happy as hell.",0
That would be so nice to see,0
There is no reason to live,1
I want to hurt myself,1
He looks like he's trying to cosplay Mac from always sunny.,0
I want to disappear forever,1
And that still doesn’t change my speculation. Cops could have gotten it wrong on the front end when getting the warrant,0
"And best of all, it is giving a child a loving home.",0
... or if they’re having a bad time because life is a bit crap.,0
I want to kill myself,1
There is no reason to live,1
I want to disappear forever,1
I feel like ending my life,1
I want to disappear forever,1
I don’t want to live anymore,1
Yeah and I love my dog and I'd miss my dad.,0
And Tranna for Toronto.,0
It's clear for me that you've never been even close to a brazillian suburb. /s,0
Looks like something translated from Irish to English using google.,0
I don’t want to live anymore,1
"Right, and the names would be different.",0
I feel like giving up completely,1
I want to kill myself,1
I feel like ending my life,1
Sad and very true though. Case in point.,0
I feel like ending my life,1
I want to disappear forever,1
Similar to seroquel?,0
There is no reason to live,1
